id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2119667,Architect Owned Unique Retreat in the Art District,10535707,Nicole,,Lincoln Park,39.73499,-105.00108,Entire home/apt,246,29,415,2021-09-04,4.29,1,329,6,
2139342,Designer Home Away From Home,10917089,Jeffrey,,Hilltop,39.72112,-104.91342,Entire home/apt,92,30,155,2021-10-31,1.61,4,212,4,
2153985,Sleeps 6 - Duplex 2 miles from Downtown Denver,10534574,Jessica,,Sunnyside,39.77049,-105.00101,Entire home/apt,114,1,67,2021-12-27,6.28,1,164,67,2021-BFN-0000511
2216969,Modern Studio,10917089,Jeffrey,,Hilltop,39.7212,-104.91337,Entire home/apt,70,30,150,2021-10-21,2.00,4,332,6,
2232323,"Cozy Cottage in the Country Club,",11393480,Darrow,,Country Club,39.72367,-104.96557,Entire home/apt,260,7,83,2021-10-21,0.88,1,346,9,2017-BFN-0001514
2239191,"Spacious victorian, bright and airy near downtown.",1239512,Zorab,,Clayton,39.76768,-104.9551,Entire home/apt,221,4,73,2021-10-19,0.91,1,364,14,2017-BFN-0002932
2243316,"BEST! Location, open, quiet, CLOROX CLEAN!",4087056,Jeanne,,City Park West,39.74245,-104.9681,Entire home/apt,72,30,29,2021-06-30,0.30,6,332,5,Long Term rental only
2267500,Quiet Highlands Cottage,7961148,Cory,,West Highland,39.76567,-105.0348,Entire home/apt,115,30,246,2019-09-21,2.60,1,216,0,2016-BFN-0008887
2361919,The Cloisters at Berkeley,5811115,Annette,,Berkeley,39.7796,-105.03859,Entire home/apt,70,30,39,2021-10-15,0.41,5,214,2,
2386289,Sunny Sky Loft in Highlands,184771,Melanie,,West Highland,39.76777,-105.03529,Entire home/apt,130,7,94,2021-06-22,1.06,1,0,1,2017-BFN-0000207
2441900,Remodeled Victorian Condo!,12482307,Jeremy,,City Park West,39.74296,-104.96941,Entire home/apt,70,90,3,2014-05-08,0.03,2,365,0,
2466830,HISTORIC COTTAGE IN BONNIE BRAE,6896064,Greg,,Cory - Merrill,39.69062,-104.9548,Entire home/apt,300,29,11,2021-05-23,0.16,1,363,3,2018-BFN-0005028
2467260,Parkside 5280,11000035,Ryan,,City Park,39.74241,-104.95097,Entire home/apt,127,1,483,2021-12-13,5.18,1,75,62,2018-BFN-0008030
